Symbol,CompanyName,Sector,Industry
ARRKF,ARRAS MINERALS CORP,Materials,Metals & Mining
ARSMF,ARES STRATEGIC MINING  INC,Materials,Metals & Mining
ARXRF,IMAGINE LITHIUM INC,Materials,Metals & Mining
ASCUF,ARIZONA SONORAN COPP COM INC,Materials,Metals & Mining
ASDRF,ASCENDANT RESOURCES INC,Materials,Metals & Mining
ASDZF,ARCTIC STAR EXPLORATION CP,Materials,Metals & Mining
ASGOF,ASANTE GOLD CORP,Materials,Metals & Mining
ASH,Ashland Inc,Materials,Chemicals
ASIX,AdvanSix Inc,Materials,Chemicals
ASLRF,ALIEN METALS LTD,Materials,Metals & Mining
ASM,Avino Silver & Gold Mines Ltd,Materials,Metals & Mining
ASPI,ASP Isotopes Inc,Materials,Chemicals
ASPN,Aspen Aerogels Inc,Materials,Chemicals
ASTL,Algoma Steel Group Inc,Materials,Metals & Mining
ASWRF,Gungnir Resources Inc,Materials,Metals & Mining
ATAO,Altair International Corp,Materials,Metals & Mining
ATBHF,ASTON BAY HOLDINGS LTD,Materials,Metals & Mining
ATCMF,ATICO MINING CORP,Materials,Metals & Mining
ATCUF,ALTA COPPER CORP,Materials,Metals & Mining
ATCV,ATC Venture Group Inc,Materials,Metals & Mining
ATI,ATI Inc,Materials,Metals & Mining
ATLDF,Atlanta Gold Inc,Materials,Metals & Mining
ATLMF,ATALAYA MINING PLC,Materials,Metals & Mining
ATLX,Atlas Lithium Corp,Materials,Metals & Mining
ATR,"AptarGroup, Inc.",Materials,Containers & Packaging
ATUSF,ALTIUS MINERALS CORP,Materials,Metals & Mining
AU,AngloGold Ashanti Limited (ADR),Materials,Metals & Mining
AUCOY,POLYMETAL INTL PLC,Materials,Metals & Mining
AUGG,AUGUSTA GOLD CORP,Materials,Metals & Mining
AUIAF,AURANIA RESOURCES LTD,Materials,Metals & Mining
AUMBF,1911 GOLD CORP,Materials,Metals & Mining
AUMC,AURYN MINING CORP,Materials,Metals & Mining
AUMN,Golden Minerals Co,Materials,Metals & Mining
AUNFF,AURCANA SILVER CORP,Materials,Metals & Mining
AURQF,AURELIUS MINERALS INC,Materials,Metals & Mining
AUST,Austin Gold Corp,Materials,Metals & Mining
AUSVF,GOLD79 MINES LTD,Materials,Metals & Mining
AUXXF,ALLEGIANT GOLD LTD,Materials,Metals & Mining
AVD,American Vanguard Corp.,Materials,Chemicals
AVGDF,AVIDIAN GOLD CORP,Materials,Metals & Mining
AVLNF,AVALON ADVANCED MATERIALS,Materials,Metals & Mining
AVNT,Avient Corp,Materials,Chemicals
AVPMF,AVRUPA MINERALS LTD,Materials,Metals & Mining
AVY,Avery Dennison Corp,Materials,Containers & Packaging
AWCMY,Alumina Limited (ADR),Materials,Metals & Mining
AWLIF,AMERIWEST LITHIUM INC,Materials,Metals & Mining
AXDDF,AZUCAR MINERALS LTD,Materials,Metals & Mining
AXMIF,AXMIN INC,Materials,Metals & Mining
AXREF,AMARC RESOURCES LTD,Materials,Metals & Mining
AXTA,Axalta Coating Systems Ltd,Materials,Chemicals
AXVEF,CDN MAVERICK CAP CORP,Materials,Metals & Mining
AXXDF,ALDERON IRON ORE CORP,Materials,Metals & Mining
AYASF,AYA GOLD & SILVER INC,Materials,Metals & Mining
AZGFF,AZTECA GOLD CORP,Materials,Metals & Mining
AZMCF,ARIZONA METALS CORP,Materials,Metals & Mining
AZMTF,AZIMUT EXPLORATION INC,Materials,Metals & Mining
AZZTF,AZTEC MINERALS CORP,Materials,Metals & Mining
BAJFF,CAMROVA RESOURCES INC,Materials,Metals & Mining
BALL,Ball Corp,Materials,Containers & Packaging
BARUF,BARU GOLD CORP,Materials,Metals & Mining
BASA,Basanite Inc,Materials,Chemicals
BASFY,BASF SE (ADR),Materials,Chemicals
BBBMF,HUNTSMAN EXPLORATION INC,Materials,Metals & Mining
BBBXF,BRIXTON METALS CORP,Materials,Metals & Mining
BBSRF,BLUESTONE RESOURCES INC,Materials,Metals & Mining
BCEKF,BEAR CREEK MINING CORP,Materials,Metals & Mining
BCPC,Balchem Corp,Materials,Chemicals
BCUFF,BELL COPPER CORP,Materials,Metals & Mining
BDRGF,JAEGER RESOURCES CORP,Materials,Metals & Mining
BELDF,BATERO GOLD CORP,Materials,Metals & Mining
BELMF,BELMONT RESOURCES INC,Materials,Metals & Mining
BENZF,BENZ MINING CORP,Materials,Metals & Mining
BERY,Berry Global Group Inc,Materials,Containers & Packaging
BEVVF,BEE VECTORING TECHNOLOGIES,Materials,Chemicals
BFFAF,BASF SE,Materials,Chemicals
BGADF,BRIGADIER GOLD LTD,Materials,Metals & Mining
BGAVF,BRAVADA GOLD CORP,Materials,Metals & Mining
BHLL,Bunker Hill Mining Corp,Materials,Metals & Mining
BHP,BHP Group Ltd (ADR),Materials,Metals & Mining
BHPLF,BHP GROUP LTD,Materials,Metals & Mining
BHSIF,BAYHORSE SILVER INC,Materials,Metals & Mining
BIONQ,BIONITROGEN HOLDINGS CORP,Materials,Chemicals
BIOX,Bioceres Crop Solutions Corp,Materials,Chemicals
BITTF,BITTERROOT RESOURCES LTD,Materials,Metals & Mining
BKIRF,BLACK IRON INC,Materials,Metals & Mining
BKMM,Bekem Metals Inc,Materials,Metals & Mining
BKMNF,BARKER MINERALS LTD,Materials,Metals & Mining
BKRRF,BLACKROCK SILVER CORP,Materials,Metals & Mining
BKSLF,BANKS ISLAND GOLD LTD,Materials,Metals & Mining
BLAGF,BLUE LAGOON RESOURS INC,Materials,Metals & Mining
BLGO,BioLargo Inc,Materials,Chemicals
BLIDF,BOLIDEN AB,Materials,Metals & Mining
BLNMF,BLUE NOTE MINING INC,Materials,Metals & Mining
BLSFY,BLUESCOPE STEEL LTD,Materials,Metals & Mining
BLTH,American Battery Materials Inc,Materials,Metals & Mining
BLXX,Blox Inc,Materials,Metals & Mining
BMOOF,BLUE MOON METALS INC,Materials,Metals & Mining
BMTLF,BEMETALS CORP,Materials,Metals & Mining
BMXI,Brookmount Gold Corp,Materials,Metals & Mining
BNCHD,THESIS GOLD INC,Materials,Metals & Mining
BNTRF,BENTON RESOURCES INC,Materials,Metals & Mining
BOALY,BORAL LTD,Materials,Construction Materials
BON,Bon Natural Life Ltd,Materials,Chemicals
BONXF,BONTERRA RESOURCES INC,Materials,Metals & Mining
BORK,BOURQUE INDUSTRIES INC,Materials,Metals & Mining
BRCNF,BURCON NUTRASCIENCE CORP,Materials,Chemicals
BRGC,BrightRock Gold Corp,Materials,Metals & Mining
BRIOF,MAGNA TERRA MINERALS INC,Materials,Metals & Mining
BRLL,Barrel Energy Inc,Materials,Metals & Mining
BRNE,Borneo Resource Investments Ltd,Materials,Metals & Mining
BRSGF,QUEEN'S RD CAP INVST LTD,Materials,Metals & Mining
BRSLF,BARSELE MINERALS CORP,Materials,Metals & Mining
BRTE,"Brightec, Inc.",Materials,Chemicals
BRUZF,CANADA CARBON INC,Materials,Metals & Mining
BRVMF,BRAVO MINING CORP,Materials,Metals & Mining
BRVVF,QUANTUM BATTERY METALS CORP,Materials,Metals & Mining
BRWXF,BRUNSWICK EXPLORATION INC,Materials,Metals & Mining
BSND,BOSTON SAND & GRAVEL CO,Materials,Construction Materials
BSXGF,BELO SUN MINING CORP,Materials,Metals & Mining
BTG,B2GOLD CORP,Materials,Metals & Mining
BTLLF,NORTH PEAK RESOURCES LTD,Materials,Metals & Mining
BTRMF,BATTERY MINRL RESO CORP,Materials,Metals & Mining
BTUMF,BTU METALS CORP,Materials,Metals & Mining
BVLDF,BOLD VENTURES INC,Materials,Metals & Mining
BVN,Compania de Minas Buenaventura SAA (ADR),Materials,Metals & Mining
BVTEF,ICONIC MINERALS LTD,Materials,Metals & Mining
BWCGF,BLACKWOLF COPPER & GOLD LTD,Materials,Metals & Mining
BXXRF,EXGEN RESOURCES INC,Materials,Metals & Mining
BYAGF,BANYAN GOLD CORP,Materials,Metals & Mining
BZDLF,KINCORA COPPER LTD,Materials,Metals & Mining
CADNF,CASCADES INC,Materials,Containers & Packaging
CAEN,California-Engels Mining Company,Materials,Paper & Forest Products
CAFZF,CANAF INVESTMENTS INC,Materials,Metals & Mining
CAHPF,EVOLUTION MINING LTD,Materials,Metals & Mining
CAMZF,CAMINO MINERALS CORP,Materials,Metals & Mining
CASXF,CASA MINERALS INC,Materials,Metals & Mining
CATPF,GIYANI METALS CORP,Materials,Metals & Mining
