Symbol,CompanyName,Sector,Industry
BABA,Alibaba Group Holding Ltd - ADR,Consumer Discretionary,Broadline Retail
BABAF,ALIBABA GROUP HLDG,Consumer Discretionary,Broadline Retail
BABB,BAB Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BALY,Bally's Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BANI,Banneker Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BARK,Bark Inc,Consumer Discretionary,Specialty Retail
BBBYQ,Bed Bath & Beyond Inc,Consumer Discretionary,Specialty Retail
BBRYF,BURBERRY GROUP PLC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BBW,"Build-A-Bear Workshop, Inc",Consumer Discretionary,Specialty Retail
BBWI,Bath & Body Works Inc,Consumer Discretionary,Specialty Retail
BBY,Best Buy Co Inc,Consumer Discretionary,Specialty Retail
BC,Brunswick Corporation,Consumer Discretionary,Leisure Products
BCCI,BARISTAS COFFEE CO INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BCNN,Balincan USA Inc,Consumer Discretionary,Specialty Retail
BDL,Flanigan's Enterprises Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BDVB,Bagger Dave's Burger Tavern Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BEBE,bebe stores inc,Consumer Discretionary,Specialty Retail
BEDU,Bright Scholar Education Holdngs Ltd-ADR,Consumer Discretionary,Diversified Consumer Services
BEVFF,Diversified Royalty Corp,Consumer Discretionary,Specialty Retail
BFAM,Bright Horizons Family Solutions Inc,Consumer Discretionary,Diversified Consumer Services
BFI,Burgerfi International Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BGFV,Big 5 Sporting Goods Corp,Consumer Discretionary,Specialty Retail
BGI,Birks Group Inc,Consumer Discretionary,Specialty Retail
BH,BIGLARI HLDGS INC COM STK CL B,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BH.A,Biglari Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BHHOF,BOOHOO GROUP PLC,Consumer Discretionary,Specialty Retail
BHOOY,BOOHOO GROUP PLC,Consumer Discretionary,Specialty Retail
BIG,Big Lots Inc,Consumer Discretionary,Broadline Retail
BIGG,Big Tree Group Inc,Consumer Discretionary,Leisure Products
BIRD,Allbirds Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BJRI,BJ's Restaurants Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BKE,Buckle Inc,Consumer Discretionary,Specialty Retail
BKNG,Booking Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BLD,TopBuild Corp,Consumer Discretionary,Household Durables
BLHI,Blue Holdings Inc.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BLITF,I3 INTERACTIVE INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BLMN,Bloomin' Brands Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BLWYF,BELLWAY PLC,Consumer Discretionary,Household Durables
BLWYY,BELLWAY PLC,Consumer Discretionary,Household Durables
BMRPF,B&M EUROPEAN VALUE RETAIL,Consumer Discretionary,Broadline Retail
BMRRY,B&M EUROPEAN VALUE RETAIL,Consumer Discretionary,Broadline Retail
BMWYY,BAYER MOTOREN WERKE AG,Consumer Discretionary,Automobiles
BMXC,Bemax Inc,Consumer Discretionary,Distributors
BNED,Barnes & Noble Education Inc,Consumer Discretionary,Specialty Retail
BODY,Beachbody Company Inc,Consumer Discretionary,Diversified Consumer Services
BONTQ,Bon-Ton Stores Inc,Consumer Discretionary,Broadline Retail
BOOT,Boot Barn Holdings Inc,Consumer Discretionary,Specialty Retail
BOSSY,Hugo Boss AG - ADR,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BOWL,Bowlero Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BPZZF,BOSTON PIZZA ROYALTIES INCM,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BQ,Boqii Holding Ltd (ADR),Consumer Discretionary,Specialty Retail
BRAG,BRAGG GAMING GROUP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BRAV,Bravada International Ltd.,Consumer Discretionary,Specialty Retail
BRDCY,Bridgestone Corp (ADR),Consumer Discretionary,Automobile Components
BRGO,Bergio International Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BRLT,Brilliant Earth Group Inc,Consumer Discretionary,Specialty Retail
BROS,Dutch Bros Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BSDGF,BOSIDENG INTERNATIONAL HLDG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BSDGY,BOSIDENG INTERNATIONAL HLDG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BSEFY,BENESSE HLDGS INC,Consumer Discretionary,Diversified Consumer Services
BSET,Bassett Furniture Industries Inc,Consumer Discretionary,Household Durables
BSHI,Boss Holdings Inc,Consumer Discretionary,Distributors
BTBD,BT Brands Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BTDPY,BARRATT DEVELOPMENTS PLC,Consumer Discretionary,Household Durables
BURBY,BURBERRY GROUP PLC,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BURL,Burlington Stores Inc,Consumer Discretionary,Specialty Retail
BVH,Bluegreen Vacations Holding Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BVHBB,BLUEGREEN VACATIONS HOL CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BWA,BorgWarner Inc.,Consumer Discretionary,Automobile Components
BWMG,Brownie's Marine Group Inc.,Consumer Discretionary,Leisure Products
BWMX,Betterware de Mexico SAPI de CV,Consumer Discretionary,Specialty Retail
BWTL,Bowlin Travel Centers Inc,Consumer Discretionary,Specialty Retail
BYD,Boyd Gaming Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BYDDF,BYD COMPANY LTD,Consumer Discretionary,Automobiles
BYDDY,BYD COMPANY LTD,Consumer Discretionary,Automobiles
BZH,Beazer Homes USA Inc,Consumer Discretionary,Household Durables
BZIC,Beamz Interactive Inc,Consumer Discretionary,Leisure Products
BZUN,Baozun Inc (ADR),Consumer Discretionary,Broadline Retail
CAAS,"China Automotive Systems, Inc.",Consumer Discretionary,Automobile Components
CACH,Cache Inc,Consumer Discretionary,Specialty Retail
CAGR,California Grapes International Inc,Consumer Discretionary,Distributors
CAGU,Castle Group Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CAHI,Carrier Alliance Holdings Inc,Consumer Discretionary,Specialty Retail
CAKE,Cheesecake Factory Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CAL,Caleres Inc,Consumer Discretionary,Specialty Retail
CALIQ,Cal Coast Industries,Consumer Discretionary,Specialty Retail
CANG,Cango Inc - ADR,Consumer Discretionary,Specialty Retail
CATO,Cato Corp,Consumer Discretionary,Specialty Retail
CAVA,CAVA Group Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CAVR,CAVU RESOURCES INC,Consumer Discretionary,Household Durables
CBKCQ,CB Wind-Down Corp,Consumer Discretionary,Specialty Retail
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CCL,Carnival Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CCS,Century Communities Inc,Consumer Discretionary,Household Durables
CDNAF,CANADIAN TIRE CORP  -CL A,Consumer Discretionary,Broadline Retail
CDNTF,CANADIAN TIRE CORP  -CL A,Consumer Discretionary,Broadline Retail
CDRO,Codere Online Luxembourg SA,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CDTI,CDTi Advanced Materials Inc,Consumer Discretionary,Automobile Components
