symbol,date,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
MSFT,2001-12-31,2002,quarter,4.148698884758364,3.745482839111265,0.4543961269127691,59.23653274770702,114.9481865284974,174.18471927620442,71.63860103626943,102.54611823993498,0.8005425655600051,0.36700684666063815,0.4336649011755587,0.29492313654566593,0.3199285075960679,0.034915197210454677,0.04428881818887251,0.05278706800445931,0.680071492403932,1.1816261879619852,0.36700684666063815,0.013748910333858413,0.01744005587025685,0.0,0.017141113886399603,0.0,3.9655172413793105,1.2684682237914178,1.519332679097154,1.256305939788446,0.7829614604462475,3.4558035714285715,0.11838744704604891,0.3303985171455051,0.3144578313253012,3.543002780352178,0.0,0.46053481462343365,0.9517531556802244,3.9655172413793105,3.9655172413793105,-20.726744186046513,-20.726744186046513,0.0,6.934754015674711,6.934754015674711,46.17913706239504,39.14506132282085,105.35593869731801,100.2728471248247,100.2728471248247,0.5219341509709446,46.17913706239504,0.0,117.40556666666667,6.934754015674711
MSFT,2001-09-30,2002,quarter,3.4467423417819933,3.092676100139947,0.24203078836883843,53.10969637610186,202.90723981900453,256.0169361951064,116.36877828054298,139.6481579145634,0.8556970290564806,0.47290238328436174,0.3080313418217434,0.20943519425399934,0.320084790673026,0.020907002134697802,0.026450881352437894,0.059725801463766624,0.679915209326974,0.651363479461512,0.47290238328436174,0.009549106197141785,0.012081228739305226,0.0,0.01193701493145383,0.0,5.783276450511946,1.2651685393258427,1.6946058091286307,0.773403324584427,0.4435524335173106,2.7094206103494027,0.09982563918718529,0.31391256020748426,0.3000185253797703,3.349666543164135,0.0,0.5532158015017956,0.9557391560932429,5.783276450511946,5.783276450511946,-22.593333333333334,-22.593333333333334,0.0,5.7646922997629115,5.7646922997629115,45.64420502775057,54.48487918939984,86.32800246989812,82.50705222779581,82.50705222779581,0.029179786045244866,45.64420502775057,0.0,60.005078125,5.7646922997629115
MSFT,2001-06-30,2001,quarter,3.5606360043118936,3.1684333453108158,0.3523176428314768,51.18357862122386,102.16074548631335,153.3443241075372,62.271403610949335,91.07292049658787,0.734004647560031,0.4261812548412084,0.015182029434546863,0.010069713400464756,0.336734693877551,0.0010969168199537608,0.0013745268455666222,0.05716363636363636,0.6632653061224489,0.035623409669211195,0.4261812548412084,0.012521727390856776,0.015690752606314366,0.0,0.015448356269909017,0.0,4.82345013477089,1.2530821121190974,1.7583764641786979,1.4452861952861953,0.8809645972293484,2.795582503248159,0.10893227804310039,0.335363568215892,0.3051911544227886,2.9610194902548725,0.0,0.5544539116963594,0.9100307348421347,4.82345013477089,4.82345013477089,-11.114906832298137,-11.114906832298137,0.0,8.237179893844235,8.237179893844235,60.34515879163439,1498.1846153846154,119.59717531470679,108.83710533668624,108.83710533668624,-15.390016147318514,60.34515879163439,0.0,60.37357131673712,8.237179893844235
MSFT,2001-03-31,2001,quarter,3.8797741273100614,3.444558521560575,0.4259753593429158,49.237918215613384,353.2835820895522,402.5215003051656,239.1044776119403,163.4170226932253,0.9273543990086741,0.46437422552664187,0.5666047087980174,0.37964684014869887,0.3299617277200656,0.04112071134971898,0.05096693699313787,0.060122330291787825,0.6700382722799344,1.220146764509673,0.46437422552664187,0.0,0.0,0.0,0.0,0.0,0.0,1.2394468704512374,1.8278595696489242,0.37640449438202245,0.25475285171102663,2.9902732746641965,0.1083130609848167,0.37612443778110943,0.35138680659670163,2.8127811094452775,0.0,0.6217472118959108,0.9342301943198804,0.0,0.0,-15.204545454545455,-15.204545454545455,0.0,6.067217300894157,6.067217300894157,45.194002478314744,29.760554875560995,77.80599466666666,72.68870951669159,72.68870951669159,-3.720069359445126,45.194002478314744,0.0,87.93136044023234,6.067217300894157
MSFT,2000-12-31,2001,quarter,3.638025974025974,3.224103896103896,0.3668571428571429,56.62414578587699,0.0,56.62414578587699,172.0909090909091,-115.4667633050321,0.8997722095671982,0.485041761579347,0.5948367501898254,0.3984813971146545,0.33009956599438345,0.04548369763047962,0.05652492352763776,0.06645029750759372,0.6699004340056165,1.2263619286161553,0.485041761579347,0.0,0.0,0.0,0.0,0.0,0.0,1.2427512817198743,1.5894279507603186,0.5229793977812995,0.0,3.1387035271687322,0.11414258723197726,0.26913696060037523,0.24362101313320825,2.522420262664165,0.0,0.43568716780561884,0.9051934471941443,0.0,0.0,-10.547794117647058,-10.547794117647058,0.0,4.980728964715006,4.980728964715006,35.11243735763098,22.02890625,89.03172891798229,80.59093760892297,80.59093760892297,1.1565175781249997,35.11243735763098,0.0,72.51095541401274,4.980728964715006
MSFT,2000-09-30,2001,quarter,3.3734150010745756,2.9962389856006877,0.2837954008166774,49.220689655172414,0.0,49.220689655172414,162.70935960591132,-113.48866995073891,0.895,0.47879310344827586,0.6641379310344827,0.3803448275862069,0.3299584631360332,0.03933034997949687,0.048651390512317226,0.059359168928884425,0.5726895119418484,1.3871083903492978,0.47879310344827586,0.0,0.0,0.0,0.0,0.0,0.0,1.2369935822508435,1.828499369482976,0.553133514986376,0.0,2.9396857577293463,0.1034070851682148,0.2792979807510851,0.25618041139837705,2.3316663521419136,0.0,0.5103448275862069,0.9172297297297297,0.0,0.0,-12.081632653061224,-12.081632653061224,0.0,7.049283902697219,7.049283902697219,55.1096,36.223445149592024,117.72953222836095,107.98502702702704,107.98502702702704,-4.16569619220308,55.1096,0.0,133.02336550566514,7.049283902697219
MSFT,2000-06-30,2000,quarter,3.10691952844695,2.7727319323423885,0.49677088672475656,50.39627842866988,0.0,50.39627842866988,90.75418994413407,-40.35791151546419,0.8149552033080634,0.4529634734665748,0.6290489317711923,0.4150585802894555,0.3401807723911257,0.04619367209971237,0.058233417134016634,0.0620120297204859,0.6598192276088742,1.388740966146824,0.4529634734665748,0.0,0.0,0.0,0.0,0.0,0.0,1.2606362405724232,1.7858461538461539,0.9916897506925207,0.0,3.049921177088807,0.11129434324065196,0.725091188327894,0.6999424073718564,2.284315607602227,0.0,1.3015161957270849,0.9653163886682552,0.0,0.0,-28.83206106870229,-28.83206106870229,0.0,10.073486753045833,10.073486753045833,71.7987594762233,43.246160232461605,57.14755896873286,55.16547524490336,55.16547524490336,0.0,71.7987594762233,0.0,313.2121673003802,10.073486753045833
MSFT,2000-03-31,2000,quarter,2.2711879672160675,2.1712149869404667,0.46762136359542467,46.177510608203676,0.0,46.177510608203676,202.45283018867926,-156.27531958047558,0.9156647807637907,0.4766619519094767,0.6387906647807637,0.4216760961810467,0.3398837531137559,0.046861184792219276,0.05993667068757539,0.0677523120225171,0.6601162468862442,1.34013353115727,0.4766619519094767,0.0,0.0,0.0,0.0,0.0,0.0,1.2790259348612787,1.949000689179876,0.4445479962721342,0.0,3.082288828337875,0.11113075940662148,0.21779612209637167,0.19418314455749663,2.0354194663083125,0.0,0.4011669024045262,0.8915821947994711,0.0,0.0,-9.223577235772357,-9.223577235772357,0.0,13.910040711700844,13.910040711700844,97.86215346534654,58.019742138364784,273.60768166089963,243.9437373292199,243.9437373292199,-13.924738113207574,97.86215346534654,0.0,266.9505063291139,13.910040711700844
MSFT,1999-12-31,2000,quarter,2.0963442498095963,2.011329017517136,0.44925742574257427,48.35732984293194,0.0,48.35732984293194,257.4709976798144,-209.11366783688246,0.9294829842931938,0.47643979057591623,0.6038939790575916,0.39856020942408377,0.34001625575724737,0.054021688510411815,0.07042701436872995,0.08418861487756223,0.6599837442427526,1.2675137362637363,0.47643979057591623,0.0,0.0,0.0,0.0,0.0,0.0,1.3036803608083494,1.8611449451887943,0.3495539334955393,0.0,3.5146635997699827,0.13554210187834032,0.20801859384079024,0.18555103621925237,1.7279682355219834,0.0024630541871921183,0.35143979057591623,0.8919925512104283,0.0,0.0,-9.258620689655173,-9.504424778761061,0.002463054187192118,17.42842753476539,17.42842753476539,98.63087041884816,61.866982758620686,314.6304175365344,280.64798882681566,280.64798882681566,6.805368103448279,98.63087041884816,9.953023718652703e-06,243.33314890154597,17.42842753476539
MSFT,1999-09-30,2000,quarter,2.635981757081133,2.533485357657225,0.5747719635141623,36.89264487369985,0.0,36.89264487369985,329.889705882353,-292.99706100865313,0.9494799405646359,0.5185735512630015,0.6166419019316494,0.40694650817236255,0.3400602409638554,0.055227868521879414,0.06991065730695596,0.08908742820676452,0.6599397590361445,1.189111747851003,0.5185735512630015,0.0,0.0,0.0,0.0,0.0,0.0,1.265858328015316,2.439510647938378,0.2728184553660983,0.0,3.2492456246228123,0.1357128453317201,0.19399493078572821,0.18044453109767986,1.8426593877948918,0.003194888178913738,0.3696136701337296,0.9301507537688443,0.0,0.0,-14.316546762589928,-15.075757575757576,0.003194888178913738,14.820747925973198,14.820747925973198,86.27084695393759,52.99888635326335,250.93584008643975,233.4081608040201,233.4081608040201,0.0,86.27084695393759,1.5070543924348968e-05,170.00489644970415,14.820747925973198
